ID,SMILES
BB001,N[C@@H](C)C(=O)
BB002,N[C@@H](C(C)C)C(=O)
BB003,N[C@@H](CC(C)C)C(=O)
BB004,N[C@@H]([C@@H](C)CC)C(=O)
BB005,N[C@@H]([C@H](C)CC)C(=O)
BB006,N[C@@H](CCSC)C(=O)
BB007,N[C@@H](CC1=CC=CC=C1)C(=O)
BB008,N[C@@H](CC1=CC=C(O)C=C1)C(=O)
BB009,N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)
BB010,N[C@@H](CO)C(=O)
BB011,N[C@@H]([C@@H](C)O)C(=O)
BB012,N[C@@H]([C@H](C)O)C(=O)
BB013,N[C@@H](CC(N)=O)C(=O)
BB014,N[C@@H](CCC(N)=O)C(=O)
BB015,N[C@@H](CS)C(=O)
BB016,NCC(=O)
BB017,N1CCC[C@@H]1C(=O)
BB018,N1CCC[C@H]1C(=O)
BB019,N[C@@H](CCCNC(N)=N)C(=O)
BB020,N[C@@H](CC1=CNC=N1)C(=O)
BB021,N[C@@H](CCCC[NH3+])C(=O)
BB022,N[C@@H](CC(O)=O)C(=O)
BB023,N[C@@H](CCC(O)=O)C(=O)
BB024,N[C@H](C)C(=O)
BB025,N[C@H](C(C)C)C(=O)
BB026,N[C@H](CC(C)C)C(=O)
BB027,N[C@H]([C@@H](C)CC)C(=O)
BB028,N[C@H]([C@H](C)CC)C(=O)
BB029,N[C@H](CCSC)C(=O)
BB030,N[C@H](CC1=CC=CC=C1)C(=O)
BB031,N[C@H](CC1=CC=C(O)C=C1)C(=O)
BB032,N[C@H](CC1=CNC2=C1C=CC=C2)C(=O)
BB033,N[C@H](CO)C(=O)
BB034,N[C@H]([C@@H](C)O)C(=O)
BB035,N[C@H]([C@H](C)O)C(=O)
BB036,N[C@H](CC(N)=O)C(=O)
BB037,N[C@H](CCC(N)=O)C(=O)
BB038,N[C@H](CS)C(=O)
BB039,N[C@H](CC1CCCCC1)C(=O)
BB040,N[C@H](CCCNC(N)=N)C(=O)
BB041,N[C@H](CC1=CNC=N1)C(=O)
BB042,N[C@H](CCCC[NH3+])C(=O)
BB043,N[C@H](CC(O)=O)C(=O)
BB044,N[C@H](CCC(O)=O)C(=O)
BB045,N[C@@H](CC[NH3+])C(=O)
BB046,N[C@H](CC[NH3+])C(=O)
BB047,N[C@@H](CCC[NH3+])C(=O)
BB048,N[C@H](CCC[NH3+])C(=O)
BB049,N(CC[NH3+])CC(=O)
BB050,N(CCC[NH3+])CC(=O)
BB051,N(CC1=CC=CC=C1)CC(=O)
BB052,N(CCC1=CC=CC=C1)CC(=O)
BB053,N(C1CC1)CC(=O)
BB054,N(CCC)CC(=O)
BB055,N(C(C)C)CC(=O)
BB056,N(CC1CC1)CC(=O)
BB057,N(C1CCCC1)CC(=O)
BB058,N(C1CCCCC1)CC(=O)
BB059,N(CC1CCCCC1)CC(=O)
BB060,N(CC1=CC=CC=N1)CC(=O)
BB061,N(CC1=CC=CN=C1)CC(=O)
BB062,N(CC1=CC=NC=C1)CC(=O)
BB063,N(CCC1=CC=CC=N1)CC(=O)
BB064,N(CCN(C(C)C)(C(C)C))CC(=O)
BB065,N(CCCC[NH3+])CC(=O)
BB066,N[C@@H](CC1CCCCC1)C(=O)
BB067,N(CCCCO)CC(=O)
BB068,N(CCN(C)(C))CC(=O)
BB069,N(CC(CC)(CC))CC(=O)
BB070,N(CC1=CC=CC=C1(Cl))CC(=O)
BB071,N(CC1=CC=CC(Cl)=C1)CC(=O)
BB072,N(CC1=CC=C(Cl)C=C1)CC(=O)
BB073,N(CCC1=CC=CC=C1(Cl))CC(=O)
BB074,N(CCC1=CC=CC(Cl)=C1)CC(=O)
BB075,N(CCC1=CC=C(Cl)C=C1)CC(=O)
BB076,N(CC1=CC=C(Cl)C(Cl)=C1)CC(=O)
BB077,N(CC1=CC(Cl)=CC(Cl)=C1)CC(=O)
BB078,N(CC1=CC=C(O)C=C1)CC(=O)
BB079,N(CCC(C)(C))CC(=O)
BB080,N(CC1=CC=C(C)C=C1)CC(=O)
BB081,N(C(C)C1=CC=C(C)C=C1)CC(=O)
BB082,N(CC1=CC=C(CN)C=C1)CC(=O)
BB083,N(CC1=CC=C(C2=CC=CC=C2)C=C1)CC(=O)
BB084,N(CC(C)(C)(C))CC(=O)
BB085,N(CCN1CCCC1)CC(=O)
BB086,N(CCN1CCCCC1)CC(=O)
BB087,N(CCN(CC)(CC))CC(=O)
BB088,N(CC1=CC=CC2=CC=CC=C12)CC(=O)
BB089,N(CCO)CC(=O)
BB090,N(CCCO)CC(=O)
BB091,NCCCC(=O)
BB092,NCCC(=O)
BB093,N[C@@H](CC1=CC=C(C)C=C1)C(=O)
BB094,N[C@H](CC1=CC=C(C=C1)C)C(=O)
BB095,N[C@@H](CC1=CC2=CC=CC=C2C=C1)C(=O)
BB096,N[C@H](CC1=CC2=CC=CC=C2C=C1)C(=O)
BB097,NC(C)(C)C(=O)
BB098,N(CC(C)C)CC(=O)
BB099,N(CC1=CNC=N1)CC(=O)
BB100,N(CC1=CC2=CC=CN=C2C=C1)CC(=O)
